keys,en,es
GAME_TITLE,"The Grand Eggsposition","La Gran Exposición de Huevos"
GAME_SUBTITLE,"Tidy Up Boutique","Boutique del Orden"
UI_PROMPT_PICK,"[E / Click] Pick up","[E / Clic] Recoger"
UI_PROMPT_PLACE,"[RT / Click] Place in showcase","[RT / Clic] Colocar en vitrina"
UI_PROMPT_INSPECT,"[F] Inspect egg in 3D","[F] Inspeccionar en 3D"
UI_PROMPT_RESONANCE,"[Q] Resonance Chime","[Q] Campanilla de Resonancia"
UI_PROMPT_SWEEP,"Hold [Click] to sweep identical eggs","Mantener [Clic] para aspirar lote"
UI_PROMPT_JOURNAL,"[TAB] Curator's Journal","[TAB] Cuaderno del Conservador"
UI_BASKET_CAPACITY,"Basket Capacity: %s / %s","Capacidad de Cesta: %s / %s"
UI_BASKET_EMPTY,"(Basket Empty)","(Cesta Vacía)"
UI_DOZEN_COMPLETED,"Dozen Completed! (12/12)","¡Docena Completada! (12/12)"
UI_SHOWCASE_COMPLETED,"Showcase Complete! (+5 Wax Seals)","¡Vitrina Completada! (+5 Sellos de Cera)"
UI_SEALS_LABEL,"Curator's Wax Seals:","Sellos de Cera del Conservador:"
UI_TOTAL_PROGRESS,"Boutique Restored: %s / 3,600","Boutique Restaurada: %s / 3.600"
SERIES_MINERALS,"Minerals & Gemstones","Minerales y Gemas"
SERIES_JOBS,"Jobs & Society","Oficios y Sociedad"
SERIES_POP_CULTURE,"Pop Culture & Fiction","Cultura Pop y Ficción"
SERIES_FANTASY,"Fantasy & Mythology","Fantasía y Mitología"
SERIES_DELICATESSEN,"Delicatessen & Sweets","Gastronomía y Dulces"
SERIES_WILDLIFE,"Wildlife & Cosmos","Fauna y Cosmos"
SHOWCASE_MINERALS_1,"Minerals & Gemstones I","Minerales y Gemas I"
SHOWCASE_MINERALS_2,"Minerals & Gemstones II","Minerales y Gemas II"
SHOWCASE_FABERGE,"Imperial Jewelry & Fabergé","Joyería Imperial y Fabergé"
SHOWCASE_CHEFS,"Gourmet Chefs & Bakers I","Chefs y Reposteros I"
SHOWCASE_FIREFIGHTERS,"Emergency Services I","Servicios de Emergencia I"
EGG_LAPIS_LAZULI,"Lapis Lazuli Egg","Huevo de Lapislázuli"
EGG_PURE_GOLD,"Pure Gold Egg","Huevo de Oro Macizo"
EGG_PURE_SILVER,"Polished Silver Egg","Huevo de Plata Pulida"
EGG_PASTRY_CHEF,"Pastry Chef Egg","Huevo de Chef Pastelero"
EGG_FIREFIGHTER,"Firefighter Egg","Huevo de Bombero"
EGG_GLAZED_DONUT,"Glazed Donut Egg","Huevo de Dónut Glaseado"
EGG_SUPERHERO,"Cape Hero Egg","Huevo de Superhéroe"
EGG_PANDA,"Panda Bear Egg","Huevo de Panda"
EGG_DRAGON_SCALE,"Dragon Scale Egg","Huevo de Escamas de Dragón"
EGG_AMETHYST_GEODE,"Amethyst Geode Egg","Huevo de Geoda de Amatista"
BARNABY_NAME,"Barnaby the Merchant","Barnaby el Mercader"
BARNABY_GREETING,"Ah, a curator with true taste! Keep an eye out for those tiny white eggs tucked away in corners...","¡Ah, un conservador con verdadero gusto! Mantén los ojos abiertos a los huevitos blancos ocultos en los rincones..."
